Company Name	Industry	Symbol
Gulf Oil Lubricants India Ltd.	Oil Gas & Consumable Fuels	GULFOILLUB
H.E.G. Ltd.	Capital Goods	HEG
H.G. Infra Engineering Ltd.	Construction	HGINFRA
HBL Engineering Ltd.	Capital Goods	HBLENGINE
HCL Technologies Ltd.	Information Technology	HCLTECH
HDFC Asset Management Company Ltd.	Financial Services	HDFCAMC
HDFC Bank Ltd.	Financial Services	HDFCBANK
HDFC Life Insurance Company Ltd.	Financial Services	HDFCLIFE
HFCL Ltd.	Telecommunication	HFCL
Happiest Minds Technologies Ltd.	Information Technology	HAPPSTMNDS
Hathway Cable & Datacom Ltd.	Media Entertainment & Publication	HATHWAY
Havells India Ltd.	Consumer Durables	HAVELLS
Healthcare Global Enterprises Ltd.	Healthcare	HCG
HeidelbergCement India Ltd.	Construction Materials	HEIDELBERG
Hemisphere Properties India Ltd.	Services	HEMIPROP
Heritage Foods Ltd.	Fast Moving Consumer Goods	HERITGFOOD
Hero MotoCorp Ltd.	Automobile and Auto Components	HEROMOTOCO
Hikal Ltd.	Healthcare	HIKAL
Himadri Speciality Chemical Ltd.	Chemicals	HSCL
Hindalco Industries Ltd.	Metals & Mining	HINDALCO
Hindustan Aeronautics Ltd.	Capital Goods	HAL
Hindustan Construction Co. Ltd.	Construction	HCC
Hindustan Copper Ltd.	Metals & Mining	HINDCOPPER
Hindustan Petroleum Corporation Ltd.	Oil Gas & Consumable Fuels	HINDPETRO
Hindustan Unilever Ltd.	Fast Moving Consumer Goods	HINDUNILVR
Hindustan Zinc Ltd.	Metals & Mining	HINDZINC
Hitachi Energy India Ltd.	Capital Goods	POWERINDIA
Home First Finance Company India Ltd.	Financial Services	HOMEFIRST
Honasa Consumer Ltd.	Fast Moving Consumer Goods	HONASA
Honeywell Automation India Ltd.	Capital Goods	HONAUT
Housing & Urban Development Corporation Ltd.	Financial Services	HUDCO
Hyundai Motor India Ltd.	Automobile and Auto Components	HYUNDAI
ICICI Bank Ltd.	Financial Services	ICICIBANK
ICICI Lombard General Insurance Company Ltd.	Financial Services	ICICIGI
ICICI Prudential Life Insurance Company Ltd.	Financial Services	ICICIPRULI
IDBI Bank Ltd.	Financial Services	IDBI
IDFC First Bank Ltd.	Financial Services	IDFCFIRSTB
IFB Industries Ltd.	Consumer Durables	IFBIND
IFCI Ltd.	Financial Services	IFCI
IIFL Capital Services Ltd.	Financial Services	IIFLCAPS
IIFL Finance Ltd.	Financial Services	IIFL
INOX India Ltd.	Capital Goods	INOXINDIA
IRB Infrastructure Developers Ltd.	Construction	IRB
IRCON International Ltd.	Construction	IRCON
ITC Ltd.	Fast Moving Consumer Goods	ITC
ITD Cementation India Ltd.	Construction	ITDCEM
ITI Ltd.	Telecommunication	ITI
Imagicaaworld Entertainment Ltd.	Consumer Services	IMAGICAA
Indegene Ltd.	Healthcare	INDGN
India Cements Ltd.	Construction Materials	INDIACEM
India Glycols Ltd.	Fast Moving Consumer Goods	INDIAGLYCO
India Shelter Finance Corporation Ltd.	Financial Services	INDIASHLTR
Indiamart Intermesh Ltd.	Consumer Services	INDIAMART
Indian Bank	Financial Services	INDIANB
Indian Energy Exchange Ltd.	Financial Services	IEX
Indian Hotels Co. Ltd.	Consumer Services	INDHOTEL
Indian Metals & Ferro Alloys Ltd.	Metals & Mining	IMFA
Indian Oil Corporation Ltd.	Oil Gas & Consumable Fuels	IOC
Indian Overseas Bank	Financial Services	IOB
Indian Railway Catering And Tourism Corporation Ltd.	Consumer Services	IRCTC
Indian Railway Finance Corporation Ltd.	Financial Services	IRFC
Indian Renewable Energy Development Agency Ltd.	Financial Services	IREDA
Indigo Paints Ltd.	Consumer Durables	INDIGOPNTS
Indo Count Industries Ltd.	Textiles	ICIL
Indraprastha Gas Ltd.	Oil Gas & Consumable Fuels	IGL
Indus Towers Ltd.	Telecommunication	INDUSTOWER
IndusInd Bank Ltd.	Financial Services	INDUSINDBK
Infibeam Avenues Ltd.	Financial Services	INFIBEAM
Info Edge (India) Ltd.	Consumer Services	NAUKRI
Infosys Ltd.	Information Technology	INFY
Ingersoll Rand (India) Ltd.	Capital Goods	INGERRAND
Innova Captab Ltd.	Healthcare	INNOVACAP
Inox Green Energy Services Ltd.	Power	INOXGREEN
Inox Wind Ltd.	Capital Goods	INOXWIND
Intellect Design Arena Ltd.	Information Technology	INTELLECT
InterGlobe Aviation Ltd.	Services	INDIGO
International Gemmological Institute (India) Ltd.	Services	IGIL
Inventurus Knowledge Solutions Ltd.	Information Technology	IKS
Ion Exchange (India) Ltd.	Utilities	IONEXCHANG
Ipca Laboratories Ltd.	Healthcare	IPCALAB
Isgec Heavy Engineering Ltd.	Construction	ISGEC
J.B. Chemicals & Pharmaceuticals Ltd.	Healthcare	JBCHEPHARM
J.K. Cement Ltd.	Construction Materials	JKCEMENT
J.Kumar Infraprojects Ltd.	Construction	JKIL
JBM Auto Ltd.	Automobile and Auto Components	JBMA
JK Lakshmi Cement Ltd.	Construction Materials	JKLAKSHMI
JK Paper Ltd.	Forest Materials	JKPAPER
JK Tyre & Industries Ltd.	Automobile and Auto Components	JKTYRE
JM Financial Ltd.	Financial Services	JMFINANCIL
JSW Energy Ltd.	Power	JSWENERGY
JSW Holdings Ltd.	Financial Services	JSWHL
JSW Infrastructure Ltd.	Services	JSWINFRA
JSW Steel Ltd.	Metals & Mining	JSWSTEEL
JTL Industries Ltd.	Capital Goods	JTLIND
Jai Balaji Industries Ltd.	Metals & Mining	JAIBALAJI
Jai Corp Ltd.	Capital Goods	JAICORPLTD
Jain Irrigation Systems Ltd.	Capital Goods	JISLJALEQS
Jaiprakash Power Ventures Ltd.	Power	JPPOWER
Jammu & Kashmir Bank Ltd.	Financial Services	J&KBANK
Jamna Auto Industries Ltd.	Automobile and Auto Components	JAMNAAUTO
Jana Small Finance Bank Ltd.	Financial Services	JSFB
Jindal Saw Ltd.	Capital Goods	JINDALSAW
Jindal Stainless Ltd.	Metals & Mining	JSL
Jindal Steel & Power Ltd.	Metals & Mining	JINDALSTEL
Jindal Worldwide Ltd.	Textiles	JINDWORLD
Jio Financial Services Ltd.	Financial Services	JIOFIN
Johnson Controls - Hitachi Air Conditioning India Ltd.	Consumer Durables	JCHAC
Jubilant Foodworks Ltd.	Consumer Services	JUBLFOOD
Jubilant Ingrevia Ltd.	Chemicals	JUBLINGREA
Jubilant Pharmova Ltd.	Healthcare	JUBLPHARMA
Jupiter Wagons Ltd.	Capital Goods	JWL
Justdial Ltd.	Consumer Services	JUSTDIAL
Jyothy Labs Ltd.	Fast Moving Consumer Goods	JYOTHYLAB
Jyoti CNC Automation Ltd.	Capital Goods	JYOTICNC
K.P.R. Mill Ltd.	Textiles	KPRMILL
KEI Industries Ltd.	Capital Goods	KEI
KNR Constructions Ltd.	Construction	KNRCON
KPI Green Energy Ltd.	Power	KPIGREEN
KPIT Technologies Ltd.	Information Technology	KPITTECH
KRBL Ltd.	Fast Moving Consumer Goods	KRBL
KSB Ltd.	Capital Goods	KSB
Kajaria Ceramics Ltd.	Consumer Durables	KAJARIACER
Kalpataru Projects International Ltd.	Construction	KPIL
Kalyan Jewellers India Ltd.	Consumer Durables	KALYANKJIL
Kalyani Steels Ltd.	Capital Goods	KSL
Kansai Nerolac Paints Ltd.	Consumer Durables	KANSAINER
Karnataka Bank Ltd.	Financial Services	KTKBANK
Karur Vysya Bank Ltd.	Financial Services	KARURVYSYA
Kaveri Seed Company Ltd.	Fast Moving Consumer Goods	KSCL
Kaynes Technology India Ltd.	Capital Goods	KAYNES
Kec International Ltd.	Construction	KEC
Kfin Technologies Ltd.	Financial Services	KFINTECH
Kirloskar Brothers Ltd.	Capital Goods	KIRLOSBROS
Kirloskar Oil Eng Ltd.	Capital Goods	KIRLOSENG
Kirloskar Pneumatic Company Ltd.	Capital Goods	KIRLPNU
Kotak Mahindra Bank Ltd.	Financial Services	KOTAKBANK
Krishna Institute of Medical Sciences Ltd.	Healthcare	KIMS
L&T Finance Ltd.	Financial Services	LTF
L&T Technology Services Ltd.	Information Technology	LTTS
LIC Housing Finance Ltd.	Financial Services	LICHSGFIN
LMW Ltd.	Capital Goods	LMW
LT Foods Ltd.	Fast Moving Consumer Goods	LTFOODS
LTIMindtree Ltd.	Information Technology	LTIM
Larsen & Toubro Ltd.	Construction	LT
Latent View Analytics Ltd.	Information Technology	LATENTVIEW
Laurus Labs Ltd.	Healthcare	LAURUSLABS
Laxmi Organic Industries Ltd.	Chemicals	LXCHEM
Le Travenues Technology Ltd.	Consumer Services	IXIGO
Lemon Tree Hotels Ltd.	Consumer Services	LEMONTREE
Life Insurance Corporation of India	Financial Services	LICI
Linde India Ltd.	Chemicals	LINDEINDIA
Lloyds Engineering Works Ltd.	Capital Goods	LLOYDSENGG
Lloyds Enterprises Ltd.	Metals & Mining	LLOYDSENT
Lloyds Metals And Energy Ltd.	Metals & Mining	LLOYDSME
Lupin Ltd.	Healthcare	LUPIN
Lux Industries Ltd.	Textiles	LUXIND
MMTC Ltd.	Services	MMTC
MOIL Ltd.	Metals & Mining	MOIL
MRF Ltd.	Automobile and Auto Components	MRF
MSTC Ltd.	Services	MSTCLTD
MTAR Technologies Ltd.	Capital Goods	MTARTECH
Macrotech Developers Ltd.	Realty	LODHA
Mahanagar Gas Ltd.	Oil Gas & Consumable Fuels	MGL
Maharashtra Scooters Ltd.	Financial Services	MAHSCOOTER
Maharashtra Seamless Ltd.	Capital Goods	MAHSEAMLES
Mahindra & Mahindra Financial Services Ltd.	Financial Services	M&MFIN
Mahindra & Mahindra Ltd.	Automobile and Auto Components	M&M
Mahindra Lifespace Developers Ltd.	Realty	MAHLIFE
Man Infraconstruction Ltd.	Construction	MANINFRA
Manappuram Finance Ltd.	Financial Services	MANAPPURAM
Mangalore Refinery & Petrochemicals Ltd.	Oil Gas & Consumable Fuels	MRPL
Mankind Pharma Ltd.	Healthcare	MANKIND
Marico Ltd.	Fast Moving Consumer Goods	MARICO
Marksans Pharma Ltd.	Healthcare	MARKSANS
Maruti Suzuki India Ltd.	Automobile and Auto Components	MARUTI
Mastek Ltd.	Information Technology	MASTEK
Max Estates Ltd.	Realty	MAXESTATES
Max Financial Services Ltd.	Financial Services	MFSL
Max Healthcare Institute Ltd.	Healthcare	MAXHEALTH
Mazagoan Dock Shipbuilders Ltd.	Capital Goods	MAZDOCK
Medplus Health Services Ltd.	Consumer Services	MEDPLUS
Metropolis Healthcare Ltd.	Healthcare	METROPOLIS
Minda Corporation Ltd.	Automobile and Auto Components	MINDACORP
Mishra Dhatu Nigam Ltd.	Capital Goods	MIDHANI
Motherson Sumi Wiring India Ltd.	Automobile and Auto Components	MSUMI
Motilal Oswal Financial Services Ltd.	Financial Services	MOTILALOFS
MphasiS Ltd.	Information Technology	MPHASIS
Mrs. Bectors Food Specialities Ltd.	Fast Moving Consumer Goods	BECTORFOOD
Multi Commodity Exchange of India Ltd.	Financial Services	MCX
Muthoot Finance Ltd.	Financial Services	MUTHOOTFIN
NATCO Pharma Ltd.	Healthcare	NATCOPHARM
NBCC (India) Ltd.	Construction	NBCC
NCC Ltd.	Construction	NCC
NEOGEN CHEMICALS LTD.	Chemicals	NEOGEN
NESCO Ltd.	Services	NESCO
NHPC Ltd.	Power	NHPC
NLC India Ltd.	Power	NLCINDIA
NMDC Ltd.	Metals & Mining	NMDC
NMDC Steel Ltd.	Metals & Mining	NSLNISP
NOCIL Ltd.	Chemicals	NOCIL
NTPC Green Energy Ltd.	Power	NTPCGREEN
NTPC Ltd.	Power	NTPC
Narayana Hrudayalaya Ltd.	Healthcare	NH
National Aluminium Co. Ltd.	Metals & Mining	NATIONALUM
National Fertilizers Ltd.	Chemicals	NFL
Nava Ltd.	Power	NAVA
Navin Fluorine International Ltd.	Chemicals	NAVINFLUOR
Nazara Technologies Ltd.	Media Entertainment & Publication	NAZARA
Nestle India Ltd.	Fast Moving Consumer Goods	NESTLEIND
Netweb Technologies India Ltd.	Information Technology	NETWEB
Network18 Media & Investments Ltd.	Media Entertainment & Publication	NETWORK18
Neuland Laboratories Ltd.	Healthcare	NEULANDLAB
Newgen Software Technologies Ltd.	Information Technology	NEWGEN
Nippon Life India Asset Management Ltd.	Financial Services	NAM-INDIA
Niva Bupa Health Insurance Company Ltd.	Financial Services	NIVABUPA
Nuvama Wealth Management Ltd.	Financial Services	NUVAMA
Nuvoco Vistas Corporation Ltd.	Construction Materials	NUVOCO
Oberoi Realty Ltd.	Realty	OBEROIRLTY
Oil & Natural Gas Corporation Ltd.	Oil Gas & Consumable Fuels	ONGC
Oil India Ltd.	Oil Gas & Consumable Fuels	OIL
Ola Electric Mobility Ltd.	Automobile and Auto Components	OLAELEC
Olectra Greentech Ltd.	Automobile and Auto Components	OLECTRA
One 97 Communications Ltd.	Financial Services	PAYTM
Optiemus Infracom Ltd.	Telecommunication	OPTIEMUS
Oracle Financial Services Software Ltd.	Information Technology	OFSS
Orchid Pharma Ltd.	Healthcare	ORCHPHARMA
Orient Cement Ltd.	Construction Materials	ORIENTCEM
Orissa Min Dev Co Ltd.	Metals & Mining	ORISSAMINE
P N Gadgil Jewellers Ltd.	Consumer Durables	PNGJL
PB Fintech Ltd.	Financial Services	POLICYBZR
PC Jeweller Ltd.	Consumer Durables	PCJEWELLER
PCBL Chemical Ltd.	Chemicals	PCBL
PG Electroplast Ltd.	Consumer Durables	PGEL
PI Industries Ltd.	Chemicals	PIIND
PNB Housing Finance Ltd.	Financial Services	PNBHOUSING
PNC Infratech Ltd.	Construction	PNCINFRA
PTC India Ltd.	Power	PTC
PTC Industries Ltd.	Capital Goods	PTCIL
PVR INOX Ltd.	Media Entertainment & Publication	PVRINOX
Page Industries Ltd.	Textiles	PAGEIND
Paisalo Digital Ltd.	Financial Services	PAISALO
Paradeep Phosphates Ltd.	Chemicals	PARADEEP
Paras Defence and Space Technologies Ltd.	Capital Goods	PARAS
Patanjali Foods Ltd.	Fast Moving Consumer Goods	PATANJALI
Patel Engineering Ltd.	Construction	PATELENG
Pearl Global Industries Ltd.	Textiles	PGIL
Persistent Systems Ltd.	Information Technology	PERSISTENT
Petronet LNG Ltd.	Oil Gas & Consumable Fuels	PETRONET
Pfizer Ltd.	Healthcare	PFIZER
Phoenix Mills Ltd.	Realty	PHOENIXLTD
Pidilite Industries Ltd.	Chemicals	PIDILITIND
Piramal Enterprises Ltd.	Financial Services	PEL
Piramal Pharma Ltd.	Healthcare	PPLPHARMA
Poly Medicure Ltd.	Healthcare	POLYMED
Polycab India Ltd.	Capital Goods	POLYCAB
Polyplex Corporation Ltd.	Capital Goods	POLYPLEX
Poonawalla Fincorp Ltd.	Financial Services	POONAWALLA
Power Finance Corporation Ltd.	Financial Services	PFC
Power Grid Corporation of India Ltd.	Power	POWERGRID
Power Mech Projects Ltd.	Construction	POWERMECH
Praj Industries Ltd.	Capital Goods	PRAJIND
Premier Energies Ltd.	Capital Goods	PREMIERENE
Prestige Estates Projects Ltd.	Realty	PRESTIGE
Pricol Ltd.	Automobile and Auto Components	PRICOLLTD
Prince Pipes and Fittings Ltd.	Capital Goods	PRINCEPIPE
Prism Johnson Ltd.	Construction Materials	PRSMJOHNSN
Prudent Corporate Advisory Services Ltd.	Financial Services	PRUDENT
Punjab National Bank	Financial Services	PNB
R R Kabel Ltd.	Capital Goods	RRKABEL
RBL Bank Ltd.	Financial Services	RBLBANK
REC Ltd.	Financial Services	RECLTD
RHI MAGNESITA INDIA LTD.	Capital Goods	RHIM
RITES Ltd.	Construction	RITES
Radico Khaitan Ltd	Fast Moving Consumer Goods	RADICO
Rail Vikas Nigam Ltd.	Construction	RVNL
Railtel Corporation Of India Ltd.	Telecommunication	RAILTEL
Rain Industries Ltd	Chemicals	RAIN
Rainbow Childrens Medicare Ltd.	Healthcare	RAINBOW
Rajesh Exports Ltd.	Consumer Durables	RAJESHEXPO
Rallis India Ltd.	Chemicals	RALLIS
Ramkrishna Forgings Ltd.	Automobile and Auto Components	RKFORGE
Rashtriya Chemicals & Fertilizers Ltd.	Chemicals	RCF
Rategain Travel Technologies Ltd.	Information Technology	RATEGAIN
RattanIndia Enterprises Ltd.	Consumer Services	RTNINDIA
RattanIndia Power Ltd.	Power	RTNPOWER
Raymond Lifestyle Ltd.	Textiles	RAYMONDLSL
Raymond Ltd.	Realty	RAYMOND
Redington Ltd.	Services	REDINGTON
Redtape Ltd.	Consumer Durables	REDTAPE
Refex Industries Ltd.	Chemicals	REFEX
Reliance Industries Ltd.	Oil Gas & Consumable Fuels	RELIANCE
Reliance Infrastructure Ltd.	Power	RELINFRA
Reliance Power Ltd.	Power	RPOWER
Religare Enterprises Ltd.	Financial Services	RELIGARE
Responsive Industries Ltd.	Consumer Durables	RESPONIND
Restaurant Brands Asia Ltd.	Consumer Services	RBA
Rossari Biotech Ltd.	Chemicals	ROSSARI
Route Mobile Ltd.	Telecommunication	ROUTE
SBFC Finance Ltd.	Financial Services	SBFC
SBI Cards and Payment Services Ltd.	Financial Services	SBICARD
SBI Life Insurance Company Ltd.	Financial Services	SBILIFE
SJVN Ltd.	Power	SJVN
SKF India Ltd.	Capital Goods	SKFINDIA
SRF Ltd.	Chemicals	SRF
Safari Industries (India) Ltd.	Consumer Durables	SAFARI
Sagility India Ltd.	Information Technology	SAGILITY
Sai Life Sciences Ltd.	Healthcare	SAILIFE
Samhi Hotels Ltd.	Consumer Services	SAMHI
Sammaan Capital Ltd.	Financial Services	SAMMAANCAP
Samvardhana Motherson International Ltd.	Automobile and Auto Components	MOTHERSON
Sanofi Consumer Healthcare India Ltd.	Healthcare	SANOFICONR
Sanofi India Ltd.	Healthcare	SANOFI
Sansera Engineering Ltd.	Automobile and Auto Components	SANSERA
Sapphire Foods India Ltd.	Consumer Services	SAPPHIRE
Sarda Energy and Minerals Ltd.	Metals & Mining	SARDAEN
Saregama India Ltd	Media Entertainment & Publication	SAREGAMA
Schaeffler India Ltd.	Automobile and Auto Components	SCHAEFFLER
Schneider Electric Infrastructure Ltd.	Capital Goods	SCHNEIDER
Senco Gold Ltd.	Consumer Durables	SENCO
Sequent Scientific Ltd.	Healthcare	SEQUENT
Shaily Engineering Plastics Ltd.	Capital Goods	SHAILY
Shakti Pumps (India) Ltd.	Capital Goods	SHAKTIPUMP
Sharda Cropchem Ltd.	Chemicals	SHARDACROP
Share India Securities Ltd.	Financial Services	SHAREINDIA
Sheela Foam Ltd.	Consumer Durables	SFL
Shilpa Medicare Ltd.	Healthcare	SHILPAMED
Shipping Corporation of India Ltd.	Services	SCI
Shivalik Bimetal Controls Ltd.	Capital Goods	SBCL
Shoppers Stop Ltd.	Consumer Services	SHOPERSTOP
Shree Cement Ltd.	Construction Materials	SHREECEM
Shree Renuka Sugars Ltd.	Fast Moving Consumer Goods	RENUKA
Shriram Finance Ltd.	Financial Services	SHRIRAMFIN
Shriram Pistons & Rings Ltd.	Automobile and Auto Components	SHRIPISTON
Shyam Metalics and Energy Ltd.	Capital Goods	SHYAMMETL
Siemens Ltd.	Capital Goods	SIEMENS
Signatureglobal (India) Ltd.	Realty	SIGNATURE
Skipper Ltd.	Capital Goods	SKIPPER
Sobha Ltd.	Realty	SOBHA
Solar Industries India Ltd.	Chemicals	SOLARINDS
Sona BLW Precision Forgings Ltd.	Automobile and Auto Components	SONACOMS
Sonata Software Ltd.	Information Technology	SONATSOFTW
South Indian Bank Ltd.	Financial Services	SOUTHBANK
Spandana Sphoorty Financial Ltd.	Financial Services	SPANDANA
Star Cement Ltd.	Construction Materials	STARCEMENT
Star Health and Allied Insurance Company Ltd.	Financial Services	STARHEALTH
State Bank of India	Financial Services	SBIN
Steel Authority of India Ltd.	Metals & Mining	SAIL
Sterling and Wilson Renewable Energy Ltd.	Construction	SWSOLAR
Sterlite Technologies Ltd.	Telecommunication	STLTECH
Strides Pharma Science Ltd.	Healthcare	STAR
Stylam Industries Ltd.	Consumer Durables	STYLAMIND
Subros Ltd.	Capital Goods	SUBROS
